timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortRcvPkts_sum,PortXmitData_sum,PortRcvData_sum,PortXmitPkts_sum,PortXmitWait_sum
116,274283327,84857,268623,3606,70302904,8471,9285,113,113,0,10879,11927,141,141,0,506359146,145849,495792,6562,76359969,10422,780661823,251918,764669,146662873
117,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
118,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,792,792,11,11,0,51,3672,3672,51,0
119,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,406,406,7,7,0,29,1990,1990,29,0
120,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
121,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,39,2808,2808,39,0
122,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,792,792,11,11,0,51,3672,3672,51,0
123,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
124,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
125,1062,1062,16,16,0,459,459,7,7,0,360,360,5,5,0,558,558,9,9,0,37,2439,2439,37,0
126,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,792,792,11,11,0,51,3672,3672,51,0
127,871,882,13,13,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,28,1951,1962,28,0
128,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
